,hid,bid,state,uid,pid,text,speaker_position,is_legislator,is_committee_member,relative_position,word_count,mentions_speakers,mentions_bills,has_bill_action,has_presentation_cue,has_vote_cue,has_disposition_cue,has_motion_cue,is_transition,stage_label
29,52054,CA_201720180AB816,CA,11,114,thank you madame chair mr kiley in your bill you have it this excludes conservancies and the california science center from webcast so you look at environmental concerns the delta conservancy alone is the allocator for prop 1 and so you look at the importance of those decision making processes going forward so why are you excluding conservancies that are of that nature,LEGISLATOR,1,1,0.34375,0.2680851063829787,0,0,0,0,0,0,0,0,
30,52054,CA_201720180AB816,CA,12,100942,i think that for the time being we were just balancing the burdens that we imposed with the accessibility benefits and in trying to strike that balance especially with sort of an initial piece of legislation we decided that not including those at first was the right way to go forward,LEGISLATOR,1,0,0.375,0.2170212765957447,0,0,0,0,0,0,0,0,
31,52054,CA_201720180AB816,CA,13,114,okay so what you re saying is you want to parse this out and you selected these agencies as the ones you want to start with you yourself so we may have ideas what we would like to include or exclude going forward are you willing to listen and take into consideration where it might be important when you look at the state and the investment from the delta conservancy just as an example,LEGISLATOR,1,1,0.40625,0.31063829787234043,0,0,0,0,0,0,0,0,
32,52054,CA_201720180AB816,CA,14,100942,yes absolutely,LEGISLATOR,1,0,0.4375,0.00851063829787234,0,0,0,0,0,0,0,0,
33,52054,CA_201720180AB816,CA,15,114,you ve pinpointed the environment but you ve excluded the environment in these conservancies,LEGISLATOR,1,1,0.46875,0.05106382978723404,0,0,0,0,0,0,0,0,
34,52054,CA_201720180AB816,CA,16,100942,yes that s right so it s certainly possible that we have not struck that balance in the optimal way so would love to get as much input as possible as to the best form for this to take moving forward and i appreciate those concerns,LEGISLATOR,1,0,0.5,0.18723404255319148,0,0,0,0,0,0,0,0,
35,52054,CA_201720180AB816,CA,17,114,thank you,LEGISLATOR,1,1,0.53125,0.00851063829787234,0,0,0,0,0,0,0,0,
36,52054,CA_201720180AB816,CA,18,165448,ms quirk silva,CHAIRMAN,1,1,0.5625,0.00851063829787234,0,0,0,0,0,0,0,0,
37,52054,CA_201720180AB816,CA,19,34400,well first i do support this bill in the name of transparency i do think that many individuals are interested but don t always have access but i guess one of the questions i d have is on what would be the cost on something like this because i know in our local city we have been encouraging our school board members our local city council some already do do live streaming others don t but numerous times when we were pushing for that we always get kind of the cost of how much something like this would cost so just wondering if you ve looked into that and what it s yeah,LEGISLATOR,1,1,0.59375,0.4595744680851064,0,0,0,1,0,0,0,0,
38,52054,CA_201720180AB816,CA,20,100942,yes i appreciate that concern and am always conscious of the cost of measures my understanding is that there were somewhat different estimates from the two appropriations committees when a similar measure was introduced last year my own understanding is that the cost of this would not be especially burdensome i don t have a number off the top of my head but we re talking about a pretty basic technology here i mean you could technically facebook live something right from your iphone so i don t think it s going to be especially burdensome,LEGISLATOR,1,0,0.625,0.39148936170212767,0,0,0,0,0,0,0,0,
39,52054,CA_201720180AB816,CA,21,34400,right and that s why i think i was interested in some of our local agencies because now with 2017 it s very easy to kind of get some of this up and running and you know at this state we re trying to work with that but hopefully can work with our local government as well,LEGISLATOR,1,1,0.65625,0.2297872340425532,0,0,0,0,0,0,0,0,
40,52054,CA_201720180AB816,CA,22,165448,and you certainly weren t suggesting that we run our government with facebook live were you,CHAIRMAN,1,1,0.6875,0.06382978723404255,0,0,0,0,0,0,0,0,
41,52054,CA_201720180AB816,CA,23,100942,i was not no but i meant that as an illustration of just how accessible this sort of technology is,LEGISLATOR,1,0,0.71875,0.0851063829787234,0,0,0,0,0,0,0,0,
42,52054,CA_201720180AB816,CA,24,165448,other questions okay that bill s been moved and seconded and i think you ve heard concerns from this committee that will need to be addressed before you again our support again secretary please call would you like to close sir,CHAIRMAN,1,1,0.75,0.16595744680851063,0,0,0,0,0,0,0,0,
43,52054,CA_201720180AB816,CA,25,114,i respectfully ask for my vote,LEGISLATOR,1,1,0.78125,0.02553191489361702,0,0,0,0,0,0,0,0,
44,52054,CA_201720180AB816,CA,26,165448,secretary please call the roll,CHAIRMAN,1,1,0.8125,0.02127659574468085,0,0,0,0,1,0,0,0,
45,52054,CA_201720180AB816,CA,27,2998,the motion is due pass and reaffirm to the committee on natural resources talamantes eggman aye talamantes eggman aye lackey aye lackey aye burke aye burke aye flora aye flora aye frasier aye frasier aye medina aye medina aye quirk silva aye quirk silva aye,SECRETARY,0,0,0.84375,0.2,0,0,0,0,1,0,1,0,
46,52054,CA_201720180AB816,CA,28,165448,that bill is out thank you we just have mr bonta he s on his way yes yes we d like to perhaps add on our members who may have missed the vote so assembly secretary please call the roll for the missed votes,CHAIRMAN,1,1,0.875,0.17872340425531916,0,0,0,0,1,0,0,0,
47,52054,CA_201720180AB816,CA,29,2998,ab 547 chavez burke aye burke aye ab822 caballero burke aye burke aye,SECRETARY,0,0,0.90625,0.05531914893617021,0,1,0,0,1,0,0,0,
48,52054,CA_201720180AB816,CA,30,165448,thank you very much we did neglect to make opening comments which is always a nice thing to do so we have a little time i will say just as a chair thank you all for being here today i look forward to this committee i think this is a committee where republicans and democrats can sit on the same side and really hopefully vigorously look at things i hope to even expand the work we do and do a lot of oversight and accountability as we go forward i think that s kind of the name of the game that we re playing these days and i hope to do it with vigor and integrity and pleased to join my co chair mr lackey do you have anything you d like to say sir,CHAIRMAN,1,1,0.9375,0.5574468085106383,0,0,0,0,0,0,0,0,
49,52054,CA_201720180AB816,CA,31,10,other than the fact that i do consider it a great privilege to sit on this committee and this is my second opportunity to do just that and i think that your willingness to expand the scope of what we review is exciting i think clearly there is more that we can do we have been entrusted with oversight and so that s what we need to do so i look forward to the chance to do that responsibly and i think we have the perfect make up here in this committee to accomplish that goal,VICE_CHAIRMAN,1,1,0.96875,0.40425531914893614,0,0,0,0,0,0,0,0,
50,52054,CA_201720180AB816,CA,32,165448,thank you anybody have a song or joke,CHAIRMAN,1,1,1.0,0.03829787234042553,0,0,0,0,0,0,0,0,
51,52054,CA_201720180AB547,CA,0,83,thank you very much madame chairman and good morning members morning i d like to start by accepting the committee s amendment suggestion and analysis and thank your staff for working on this ab 547 would require state agencies to pay disabled veteran business enterprises or known as dbves within 30 days of initial invoice that would be mirroring the federal prompt payment program,LEGISLATOR,1,0,0.0,0.2540983606557377,0,1,1,0,0,0,0,0,
52,52054,CA_201720180AB547,CA,1,6440,or known as dbves within 30 days of initial invoice that would be mirroring the federal prompt payment program,NONLEGISLATOR,0,0,0.1111111111111111,0.0778688524590164,0,0,0,0,0,0,0,0,
53,52054,CA_201720180AB547,CA,2,83,thank you currently california state departments are required to pay certified dbves within 45 days the vast majority of certified dbves are small businesses many of them which depend on these payments with me today to discuss this i m honored to say is staff sergeant david hornbeck he s the president of the global blue dvbe to testify in behalf of this bill a bit about the staff sergeant he served from 96 to 2010 came in shortly after the incident of the coal and also an iraqi war veteran he s 80 disabled and he s distinguished and wearing the nam with the combat v i ll have david hornbeck talk to you why this such an important bill,LEGISLATOR,1,0,0.2222222222222222,0.47540983606557374,0,0,0,1,0,0,0,0,
54,52054,CA_201720180AB547,CA,3,165448,thank you very much,CHAIRMAN,1,1,0.3333333333333333,0.01639344262295082,0,0,0,0,0,0,0,0,
55,52054,CA_201720180AB547,CA,4,103693,good morning members madam chairman and thank you for your service too by the way i m here speaking on behalf of both myself as a disabled veteran business owner but also as a board member of the disabled veteran business alliance i ve been a board member been privileged to serve on that board for about two years now so really have had the chance to see how both the program helps and where we can improve and i think one of the biggest things we can do if free up cash flow for our small businesses when i was talking with him we just brought it up and if boils down to do we want our businesses paying banks or do we want them to reinvest in their companies and help hire other californians to do work and the way i put it looking at finance charges and being able to move things a little tighter could have resulted into employees being hired last year 15 an hour so they re nice jobs that could be made and with that disabled vet firms in the state and around the country are known to hire vets at about twice the rate of a standard business so this is going to go to help really have our veteran companies that lead the way getting our vets back into the workforce it will free them up a little bit more to reinvest into their companies and grow,NONLEGISLATOR,0,0,0.4444444444444444,1.0,0,0,0,0,0,0,0,0,
56,52054,CA_201720180AB547,CA,5,165448,thank you very much and thank both of you for your service anybody else speaking in support of this bill today anybody speaking in opposition the bills been moved and seconded would you like to close,CHAIRMAN,1,1,0.5555555555555556,0.14754098360655737,0,0,0,1,0,0,0,0,
57,52054,CA_201720180AB547,CA,6,83,yes respectfully ask for your ayes,LEGISLATOR,1,0,0.6666666666666666,0.02459016393442623,0,0,0,0,0,0,0,0,
58,52054,CA_201720180AB547,CA,7,165448,okay thank you very much so again this will make sure our disabled vets get paid quickly and thank you for taking the amendments because initially it was so quickly i don t think we could do it but i can certainly keep pace with the federal government secretary please call the roll,CHAIRMAN,1,1,0.7777777777777778,0.21311475409836064,0,0,0,0,1,0,0,0,
59,52054,CA_201720180AB547,CA,8,2998,the motion is due pass as amended and we refer to the committee on jobs economic development and the economy talamantes eggman aye talamantes eggman aye lackey aye lackey aye burke flora aye flora aye frazier frazier aye medina aye medina aye quirk silva aye quirk silva aye,SECRETARY,0,0,0.8888888888888888,0.1762295081967213,0,0,0,0,1,0,1,0,
60,52054,CA_201720180AB547,CA,9,165448,the bill is out thank you both very much for coming today thank you mr kiley,CHAIRMAN,1,1,1.0,0.06147540983606557,0,0,0,0,0,1,0,0,
61,52054,CA_201720180AB822,CA,0,165448,it s what we call beautiful symmetry move the bill second all right that bill s been moved and seconded it s going to be a good day for you ms caballero this is a good day it s ag day that s right couldn t be better,CHAIRMAN,1,1,0.0,0.12852664576802508,0,0,0,0,0,0,0,0,
62,52054,CA_201720180AB822,CA,1,101330,thank you very much madam chair and members i m pleased to present ab 822 which promotes the purchase of california grown agricultural products by state agencies ab 822 would ask california to take a leadership role in promoting the purchase of high quality agricultural products by california state agencies by creating a state purchasing preference to promote california grown food and agricultural products over a third of the country s vegetables and two thirds of the countries fruits are grown in california we all know that california farmers grow healthy foods that we all need to eat more of california spends nearly 300 million annually on food purchases and our schools are estimated to spend between 500 to 700 million annually on direct food purchases that s nearly 1 billion that the state could direct to support california farmers and the farm workers by purchasing california grown food california over the years has passed numerous environmental and worker protection laws that arguably go further than those in any other state or nation and those are really who we compete with here in california however the state does not have any preference policies that would favor the purchase of california grown commodities that would support our local farmers ranchers and the farm workers who make it all work california s economy benefits when the state institutions direct purchasing power towards california grown products and growers reinvest this money directly back into their economy into their workforce and into their local communities the way that the preference would work essentially is that the schools if it s a comparable product that is the same price they would buy california first and for the non school entities that purchase there would be a preference if the product is comparable and if it s in 5 of the out of state product here with me in support of ab 822 is noel kramer the director of farm bureau federation,LEGISLATOR,1,0,0.09090909090909091,1.0,0,1,0,0,0,0,0,0,
63,52054,CA_201720180AB822,CA,2,103691,thank you good morning noel kramers with california farm bureau california has passed numerous very high standards last year we changed so that california farmers now have to pay overtime to their employees after 8 hours or 40 hours a week we will be phasing in a 15 minimum wage all of these standards including the many environmental standards that our farmers and ranchers meet add additional costs and our farmers have to compete with out of state products so we think that when our citizens and our legislature place standards that they should also agree to be purchasing from those who are meeting those high standards and so this bill would ask the state to support those farmers and ranchers that are meeting those high standards and we respectfully request your aye vote,NONLEGISLATOR,0,0,0.18181818181818182,0.4200626959247649,0,0,0,1,0,0,0,0,
64,52054,CA_201720180AB822,CA,3,165448,thank you very much,CHAIRMAN,1,1,0.2727272727272727,0.012539184952978056,0,0,0,0,0,0,0,0,
65,52054,CA_201720180AB822,CA,4,1279,dennis albiani on behalf of a number of ag groups the california grain and feed the california seed association pacific egg and poultry we support the provisions i just want to point that across our policies whether it s renewable energy or other actions we have a in california preference this would just extend those same policies to food and agricultural products,NONLEGISLATOR,0,0,0.36363636363636365,0.18808777429467086,0,0,0,0,0,0,0,0,
66,52054,CA_201720180AB822,CA,5,165448,thank you,CHAIRMAN,1,1,0.45454545454545453,0.006269592476489028,0,0,0,0,0,0,0,0,
67,52054,CA_201720180AB822,CA,6,103692,thank you good morning madam chair and members tricia garringer with agricultural council of california very much in support and thank the author for the bill,NONLEGISLATOR,0,0,0.5454545454545454,0.08150470219435736,0,0,0,0,0,0,0,0,
68,52054,CA_201720180AB822,CA,7,165448,thank you very much anybody else speaking in support today anybody speaking in opposition to this bill ms caballero i certainly support this concept and you re confident with the 5 the governor will sign it this year,CHAIRMAN,1,1,0.6363636363636364,0.11598746081504702,0,0,0,1,0,0,0,0,
69,52054,CA_201720180AB822,CA,8,101330,let s just say that we ll continue our discussions with the governor s office,LEGISLATOR,1,0,0.7272727272727273,0.03761755485893417,0,0,0,0,0,0,0,0,
70,52054,CA_201720180AB822,CA,9,165448,thank you very much questions from the committee would you like to close i respectfully ask for your aye vote thank you very much for bringing this forward secretary please call the roll,CHAIRMAN,1,1,0.8181818181818182,0.10344827586206896,0,0,0,0,1,0,0,0,
71,52054,CA_201720180AB822,CA,10,2998,the motion is do pass and referred to the committee on agriculture talamantes eggman aye talamantes eggman aye lackey aye lackey aye burke flora aye flora aye frazier aye frazier aye medina aye medina aye quirk silva aye quirk silva aye the bill s out thank you very much thank you very much members i saw mr chavez here,SECRETARY,0,0,0.9090909090909091,0.16300940438871472,0,0,0,0,1,0,1,0,
72,52054,CA_201720180AB822,CA,11,165448,mm hm welcome sir,CHAIRMAN,1,1,1.0,0.009404388714733543,0,0,0,0,0,0,0,0,
73,52054,CA_201720180AB677,CA,0,7,good morning madame chair colleagues appreciate your consideration of ab 677 which will help to end the historic discrimination and bias that has prolonged significant disparities in education and employment outcomes for our diverse lgbt communities this bill would require state agencies that provide education and employment related services to collect information voluntarily provided about sexual orientation and gender identity in the regular course of demographic data collection this data collection in connection with the provision of government services is critical for determining whether government is serving effectively vulnerable communities currently the state collects demographic data on race ethnicity gender and disability on many state forums and surveys but our state has not collected any data on sexual orientation and gender identity until recently a few years ago all of you who were serving in 2015 voted for a bill to collect data in the health and human service context we know from various studies including those by the us centers for disease control and the ucla williams institute that disparities impacting our lgbt communities are very real for example in education 8 out of 10 lgbt youth have reported being harassed in school leading to a decline in academic performance and a rise in absenteeism dropout rates depression and substance abuse in the employment context 70 of transgender californians are unemployed 43 of lgbt workers have reported experiencing workplace discrimination by collecting data we can better understand the obstacles facing our diverse lgbt communities and have a better direction for policies that could help to eliminate these disparities today we have two witnesses jo michael from equality california and lisa cisneros from the california rural legal assistance,LEGISLATOR,1,0,0.0,0.37841530054644806,0,1,0,1,0,0,0,0,
74,52054,CA_201720180AB677,CA,1,165448,thank you that bill s been moved and seconded with an aye rec,CHAIRMAN,1,1,0.07142857142857142,0.01639344262295082,0,0,0,0,0,0,0,0,
75,52054,CA_201720180AB677,CA,2,4348,madam chair and members jo michael for equality california the nation s largest statewide lesbian gay bisexual and transgender civil rights organization dedicated to creating a fair and just society we are proud to sponsor this bill and we thank assembly member chiu for bringing it forward to follow the legislation in 2015 that paved the way for collecting data on sexual orientation and gender identity in california which we were also the proud sponsor as a result of long term systemic discrimination and societal bias lgbt people face significant disparities in health and well being compared to the broader community as the assembly member explained these disparities include high rates of poverty unemployment and under employment homelessness isolation suicide targeting for violence and substance abuse these problems are more pronounce for youth and seniors communities of color and transgender and undocumented communities collecting voluntarily provided data on sexual orientation and gender identity whenever other demographic data is collected is necessary to understand the full extent to which lgbt people are experiencing these disparities whether government programs are reaching lgbt people in need of care and assistance and how programs might improve to better serve the lgbt community i will leave it at that and i ask lisa to tell a bit more about the specific impacts of the data,NONLEGISLATOR,0,0,0.14285714285714285,0.29918032786885246,0,0,0,1,0,0,0,0,
76,52054,CA_201720180AB677,CA,3,103690,thank you good morning i m lisa cisneros and i m an attorney and lgbt program director for california rural legal assistance crla provides free legal assistance to low income individuals through 19 field offices that we have located primarily in the central valley along the central coast and in rural communities in southern california as well thank you assemblyman chiu for introducing this important legislation in the past year the crla has developed a very robust lgbt program to protect the civil rights of low income lgbt people and their families in rural communities and california has developed a very robust set of civil rights protections for these individuals we have focused primarily in two areas school related issues and employment discrimination and in both of these areas data collection is crucial in recent years many school districts throughout the state including in the central valley have started to collect lgbt student demographic data without much fanfare not all school districts are collecting this data in a consistent way but where the data has been collected it s been incredibly useful and i have three examples of how that data has made a positive difference for lgbt students first in general many school administrators district leaders are not fully aware of the extent of their lgbt student populations in their schools for example in salinas where i grew up our school district through the california healthy kid survey learned that it had an estimated 900 lgbt students in their district through out the high schools and the middle schools as well this blew the minds of many of the district board of trustee members and it really opened up a new set of conversations about what the needs of this particular students are and how to best address them the second point that this data has helped us identify is that there appears to be a trend where a disproportionate number of lgbt students are in alternative schools compared to your traditional comprehensive or charter schools in the districts and we are just not all districts have this problem but where it appears that at the surface that some districts do have this problem we will need improved data collection to better understand the extent of these disparities and how to best address them lastly in each of these districts that have collected the data and actually for all districts throughout the state are mandated to develop what s called an l cap a local control accountability plan and these plans need to be adopted and renewed each year and they re part of our state s new school finance system that is allocating more resources to high needs schools but also requiring greater accountability so the lcap plans need to address eight different state wide priorities including school climate so in the districts where we have had lgbt student demographic data we ve been able to more effectively participate in the lcap planning process to identify action steps by the school districts and resources to allocate for example in san joaquin county and stockton unified with this data community members were able to persuade the school board to allocate greater resources for school counselors and for professional development and cultural competency trainings so that teachers were better equipped to address any anti lgbt related harassment or discrimination happening on school grounds so in addition to this important impact that this data can have in the school context crla we re also very interested in this data in employment as well over the years we ve handled a number of very serious egregious employment discrimination cases impacting lgbt people particularly transgender women in low wage jobs farm work retail work restaurant work and we ve also anecdotally learned that these women tend to spend more time unemployed better data collections through our agencies like the edd and dfeh as well will help us understand the extent of these problems if there are some regions that do not have these problems that we would want to lift up and celebrate those communities that do have equal opportunity for lgbt people and at the same time in the communities that are facing the challenges we want to proactively address those challenges let local leadership know about that and valley business leaders to tackle that problem and this data collection is just going to allow us to be smarter on these important issues thank you for listening,NONLEGISLATOR,0,0,0.21428571428571427,1.0,0,0,0,0,0,0,0,0,
77,52054,CA_201720180AB677,CA,4,165448,thank you very much if there s speaking in support just name affiliation and position,CHAIRMAN,1,1,0.2857142857142857,0.01912568306010929,0,0,0,0,0,0,0,0,
78,52054,CA_201720180AB677,CA,5,4627,becca cramer from the aclu of california here in support,NONLEGISLATOR,0,0,0.35714285714285715,0.01366120218579235,0,0,0,0,0,0,0,0,
79,52054,CA_201720180AB677,CA,6,165448,thank you,CHAIRMAN,1,1,0.42857142857142855,0.00273224043715847,0,0,0,0,0,0,0,0,
80,52054,CA_201720180AB677,CA,7,2846,kimberly chen with the california pan ethnic health network in strong support,NONLEGISLATOR,0,0,0.5,0.015027322404371584,0,0,0,0,0,0,0,0,
81,52054,CA_201720180AB677,CA,8,13306,amanda wallner with the california lgbt health and human services network in strong support,NONLEGISLATOR,0,0,0.5714285714285714,0.01912568306010929,0,0,0,0,0,0,0,0,
82,52054,CA_201720180AB677,CA,9,165448,thank you very much anybody speaking in opposition to this bill today seeing none i will say strongly support this bill if we want to serve you we need to be able to know who you are so there has been a motion to second and other questions from the committee would you like to close mr chiu,CHAIRMAN,1,1,0.6428571428571429,0.07923497267759563,0,0,0,1,0,0,0,0,
83,52054,CA_201720180AB677,CA,10,7,i just respectfully ask for your support thank you,LEGISLATOR,1,0,0.7142857142857143,0.012295081967213115,0,0,0,0,0,0,0,0,
84,52054,CA_201720180AB677,CA,11,165448,thank you secretary please call the roll,CHAIRMAN,1,1,0.7857142857142857,0.009562841530054645,0,0,0,0,1,0,0,0,
